id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3,연,8
4,노,8
5,자,7
6,래,7
7,콩,5
8,장,5
9,시,5
10,방,5
11,림,5
12,땅,5
13,다,5
14,끼,5
15,그,5
16,토,4
17,위,4
18,바,4
19,무,4
20,나,4
21,극,4
22,간,4
23,편,3
24,팥,3
25,터,3
26,지,3
27,죽,3
28,접,3
29,음,3
30,송,3
31,석,3
32,사,3
33,목,3
34,마,3
35,뜰,3
36,논,3
37,과,3
38,곳,3
39,가,3
40,효,2
41,허,2
42,표,2
43,투,2
44,처,2
45,징,2
46,일,2
47,요,2
48,손,2
49,생,2
50,새,2
51,상,2
52,삼,2
53,불,2
54,북,2
55,밭,2
56,발,2
57,모,2
58,매,2
59,리,2
60,때,2
61,동,2
62,느,2
63,뇌,2
64,놀,2
65,넷,2
66,네,2
67,낌,2
68,기,2
69,권,2
70,교,2
71,혀,1
72,해,1
73,학,1
74,피,1
75,틀,1
76,탈,1
77,키,1
78,코,1
79,칼,1
80,참,1
81,절,1
82,재,1
83,잠,1
84,인,1
85,원,1
86,우,1
87,욕,1
88,열,1
89,억,1
90,양,1
91,약,1
92,애,1
93,앞,1
94,심,1
95,실,1
96,숯,1
97,샘,1
98,살,1
99,산,1
100,병,1
101,미,1
102,멋,1
103,말,1
104,만,1
105,람,1
106,띠,1
107,딸,1
108,등,1
109,두,1
110,도,1
111,덤,1
112,덕,1
113,더,1
114,댁,1
115,대,1
116,담,1
117,달,1
118,단,1
119,님,1
120,눈,1
121,녹,1
122,널,1
123,너,1
124,냄,1
125,낫,1
126,꿈,1
127,글,1
128,궁,1
129,군,1
130,공,1
131,계,1
132,검,1
133,강,1
134,감,1
